question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please answer the following questions regarding your alcohol  habits.	0	2		
radio	How often do you have a drink containing alcohol?	1	3	"Never,Monthly or less,2 to 4 times a month,2 to 3 times a week,4 or more times a week"	"1,2,3,4,5"
radio	How many drinks containing alcohol do you have on a typical day when you are drinking?	1	3	"1 or 2,3 or 4,5 or 6,7 8 or 9,10 or more"	"1,2,3,4,5"
radio	How often do you have six or more drinks on one occasion?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	How often during the last year have you found that you were not able to stop drinking once you had started?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	How often during the last year have you failed to do what was normally expected from you because of drinking?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	How often during the last year have you had a feeling of guilt or remorse after drinking?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	How often during the last year have you been unable to remember what happened the night before because you had been drinking?	1	3	"Never,Less than monthly,Monthly,Weekly,Daily or almost daily"	"1,2,3,4,5"
radio	Have you or someone else been injured as a result of your drinking?	1	3	"No,Yes but not in the last year,Yes during the last year,I don't drink"	"1,2,3,0"
radio	Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?	1	3	"No,Yes but not in the last year,Yes during the last year,I don't drink"	"1,2,3,0"
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		